StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1.1,Q2.1_1,Q3.1,Q4.1,Q5.1,Q7.1_1,Q7.1_2,Q7.1_3,Q7.2_1,Q7.2_2,Q7.2_3,Q7.3_1,Q7.3_2,Q7.3_3,Q8.2_1,Q8.3,Q8.4_1,Q8.5_1
2023-10-20 10:49:38,2023-10-20 11:18:13,IP Address,100,1714,True,2023-10-20 11:18:14,R_111TL2hs1RUuTFZ,anonymous,EN,1,I consent,1,I informed my supervisor I am starting with Round 1,I informed my supervisor I am starting with Round 2,I informed my supervisor I am starting with Round 3,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,23,Male,Strongly disagree,Very familiar
2023-10-20 12:03:48,2023-10-20 12:21:35,IP Address,100,1066,True,2023-10-20 12:21:36,R_3ehlLtRIzGASwkG,anonymous,EN,1,I consent,2,I informed my supervisor I am starting with Round 1,I informed my supervisor I am starting with Round 2,I informed my supervisor I am starting with Round 3,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,23,Male,Strongly disagree,Extremely familiar
2023-10-21 01:18:02,2023-10-21 01:47:37,IP Address,100,1775,True,2023-10-21 01:47:38,R_1cY8cxzAU8fBdo0,anonymous,EN,0.8999999761581421,I consent,9,I informed my supervisor I am starting with Round 1,I informed my supervisor I am starting with Round 2,I informed my supervisor I am starting with Round 3,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,21,Other,Strongly disagree,Moderately familiar
2023-10-21 02:29:24,2023-10-21 02:53:32,IP Address,100,1447,True,2023-10-21 02:53:32,R_A1HCPbxTkVZRVS1,anonymous,EN,0.8999999761581421,I consent,10,I informed my supervisor I am starting with Round 1,I informed my supervisor I am starting with Round 2,I informed my supervisor I am starting with Round 3,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,56,Male,Neither agree nor disagree,Moderately familiar
2023-10-21 03:33:49,2023-10-21 03:59:24,IP Address,100,1535,True,2023-10-21 03:59:24,R_8w827Jo4nEpWrvj,anonymous,EN,1,I consent,11,I informed my supervisor I am starting with Round 1,I informed my supervisor I am starting with Round 2,I informed my supervisor I am starting with Round 3,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,25,Male,Strongly disagree,Extremely familiar
2023-10-21 04:36:33,2023-10-21 04:57:56,IP Address,100,1282,True,2023-10-21 04:57:57,R_2RXis3Yg4cknkhk,anonymous,EN,1,I consent,12,I informed my supervisor I am starting with Round 1,I informed my supervisor I am starting with Round 2,I informed my supervisor I am starting with Round 3,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,21,Female,Somewhat disagree,Slightly familiar
2023-10-21 07:20:54,2023-10-21 07:39:39,IP Address,100,1125,True,2023-10-21 07:39:40,R_sbYM1YprEqhpZVT,anonymous,EN,1,I consent,15,I informed my supervisor I am starting with Round 1,I informed my supervisor I am starting with Round 2,I informed my supervisor I am starting with Round 3,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat disagree,21,Male,Strongly disagree,Moderately familiar
2023-10-21 08:26:13,2023-10-21 08:47:35,IP Address,100,1282,True,2023-10-21 08:47:36,R_CazipNZ0NUTL15f,anonymous,EN,,I consent,35,I informed my supervisor I am starting with Round 1,I informed my supervisor I am starting with Round 2,I informed my supervisor I am starting with Round 3,Strongly disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,26,Female,Somewhat disagree,Extremely familiar
2023-10-21 08:51:05,2023-10-21 09:24:33,IP Address,100,2007,True,2023-10-21 09:24:33,R_2Xj8FF02vpPznlu,anonymous,EN,1,I consent,36,I informed my supervisor I am starting with Round 1,I informed my supervisor I am starting with Round 2,I informed my supervisor I am starting with Round 3,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,59,Prefer not to say,Neither agree nor disagree,Moderately familiar
2023-10-21 09:24:41,2023-10-21 09:42:12,IP Address,100,1051,True,2023-10-21 09:42:13,R_1pPtbDtxXcrWbgV,anonymous,EN,0.8999999761581421,I consent,36,I informed my supervisor I am starting with Round 1,I informed my supervisor I am starting with Round 2,I informed my supervisor I am starting with Round 3,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,59,Male,Strongly disagree,Moderately familiar
2023-10-21 10:43:22,2023-10-21 11:09:08,IP Address,100,1545,True,2023-10-21 11:09:09,R_2vYfir7H8YjRYaG,anonymous,EN,1,I consent,4,I informed my supervisor I am starting with Round 1,I informed my supervisor I am starting with Round 2,,Somewhat agree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,55,Female,Somewhat agree,Moderately familiar
2023-10-21 11:21:21,2023-10-21 11:39:47,IP Address,100,1106,True,2023-10-21 11:39:48,R_Oex41VjZVJnGe09,anonymous,EN,0.8999999761581421,I consent,13,I informed my supervisor I am starting with Round 1,I informed my supervisor I am starting with Round 2,I informed my supervisor I am starting with Round 3,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,21,Female,Strongly disagree,Very familiar
2023-10-21 11:50:57,2023-10-21 12:08:16,IP Address,100,1039,True,2023-10-21 12:08:17,R_3RdRbMbTbsB1Hn2,anonymous,EN,1,I consent,3,I informed my supervisor I am starting with Round 1,I informed my supervisor I am starting with Round 2,I informed my supervisor I am starting with Round 3,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,56,Male,Somewhat disagree,Moderately familiar
2023-10-22 08:39:49,2023-10-22 09:02:22,IP Address,100,1353,True,2023-10-22 09:02:23,R_2AWtTwqVDajz0Gk,anonymous,EN,,I consent,14,I informed my supervisor I am starting with Round 1,I informed my supervisor I am starting with Round 2,I informed my supervisor I am starting with Round 3,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,27,Male,Strongly disagree,Very familiar
2023-10-22 07:38:38,2023-10-22 09:22:53,IP Address,100,6255,True,2023-10-22 09:22:54,R_1cUEbUD8oYYBFgE,anonymous,EN,1,I consent,5,I informed my supervisor I am starting with Round 1,I informed my supervisor I am starting with Round 2,I informed my supervisor I am starting with Round 3,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,26,Male,Strongly disagree,Extremely familiar
2023-10-19 12:25:26,2023-10-23 02:26:03,IP Address,100,309636,True,2023-10-23 02:26:04,R_d7n0pLquGnAPCaR,anonymous,EN,1,I consent,5100992,I informed my supervisor I am starting with Round 1,I informed my supervisor I am starting with Round 2,I informed my supervisor I am starting with Round 3,,,,,,,,,,,,,
2023-10-23 11:56:43,2023-10-23 12:11:44,IP Address,100,900,True,2023-10-23 12:11:45,R_1EWIUgBI9vTewVC,anonymous,EN,1,I consent,18,I informed my supervisor I am starting with Round 1,I informed my supervisor I am starting with Round 2,I informed my supervisor I am starting with Round 3,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,24,Male,Strongly disagree,Very familiar
2023-10-23 13:03:58,2023-10-23 13:16:36,IP Address,100,758,True,2023-10-23 13:16:37,R_2dZteJID4u8Tqtw,anonymous,EN,1,I consent,6,I informed my supervisor I am starting with Round 1,I informed my supervisor I am starting with Round 2,I informed my supervisor I am starting with Round 3,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,23,Male,Strongly disagree,Very familiar
2023-10-23 14:01:58,2023-10-23 14:17:26,IP Address,100,927,True,2023-10-23 14:17:26,R_2V4vWN87TmcN4oz,anonymous,EN,1,I consent,29,I informed my supervisor I am starting with Round 1,I informed my supervisor I am starting with Round 2,I informed my supervisor I am starting with Round 3,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat disagree,23,Other,Strongly disagree,Very familiar
2023-10-23 14:20:50,2023-10-23 14:36:45,IP Address,100,954,True,2023-10-23 14:36:46,R_r15KHeohFeDzlV7,anonymous,EN,1,I consent,38,I informed my supervisor I am starting with Round 1,I informed my supervisor I am starting with Round 2,I informed my supervisor I am starting with Round 3,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,22,Male,Strongly agree,Very familiar
2023-10-23 11:02:52,2023-10-23 15:47:13,IP Address,100,17060,True,2023-10-23 15:47:13,R_1CxxBUO5DJgqvLT,anonymous,EN,1,I consent,21,I informed my supervisor I am starting with Round 1,I informed my supervisor I am starting with Round 2,I informed my supervisor I am starting with Round 3,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,28,Male,Strongly disagree,Not familiar at all
2023-10-23 15:28:20,2023-10-23 15:49:34,IP Address,100,1274,True,2023-10-23 15:49:35,R_3ER87BXT2N8ZDUM,anonymous,EN,1,I consent,41,I informed my supervisor I am starting with Round 1,I informed my supervisor I am starting with Round 2,I informed my supervisor I am starting with Round 3,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,26,Male,Somewhat disagree,Slightly familiar
2023-10-23 15:47:18,2023-10-23 15:55:52,IP Address,100,514,True,2023-10-23 15:55:52,R_2eOV21zfQRtzt2P,anonymous,EN,0.8999999761581421,I consent,22,I informed my supervisor I am starting with Round 1,I informed my supervisor I am starting with Round 2,I informed my supervisor I am starting with Round 3,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,25,Female,Strongly disagree,Not familiar at all
2023-10-23 15:50:21,2023-10-23 15:57:54,IP Address,100,452,True,2023-10-23 15:57:55,R_d5MdM2DLhMMmSHL,anonymous,EN,1,I consent,42,I informed my supervisor I am starting with Round 1,I informed my supervisor I am starting with Round 2,I informed my supervisor I am starting with Round 3,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,24,Female,Strongly disagree,Slightly familiar
2023-10-23 15:55:54,2023-10-23 16:02:09,IP Address,100,374,True,2023-10-23 16:02:09,R_PwC3k3vz4qTv237,anonymous,EN,0.8999999761581421,I consent,23,I informed my supervisor I am starting with Round 1,I informed my supervisor I am starting with Round 2,I informed my supervisor I am starting with Round 3,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,19,Male,Strongly disagree,Not familiar at all
2023-10-23 16:02:11,2023-10-23 16:06:19,IP Address,100,247,True,2023-10-23 16:06:19,R_2bZRN8NS3i8NyhW,anonymous,EN,0.8999999761581421,I consent,24,I informed my supervisor I am starting with Round 1,I informed my supervisor I am starting with Round 2,I informed my supervisor I am starting with Round 3,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,23,Female,Strongly disagree,Not familiar at all
2023-10-23 15:58:10,2023-10-23 16:11:59,IP Address,100,829,True,2023-10-23 16:12:00,R_3eh4C83LB50m92D,anonymous,EN,1,I consent,39,I informed my supervisor I am starting with Round 1,I informed my supervisor I am starting with Round 2,I informed my supervisor I am starting with Round 3,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,22,Male,Neither agree nor disagree,Moderately familiar
2023-10-23 16:06:21,2023-10-23 16:16:38,IP Address,100,616,True,2023-10-23 16:16:39,R_2Yyol32CsC1NPoK,anonymous,EN,0.8999999761581421,I consent,25,I informed my supervisor I am starting with Round 1,I informed my supervisor I am starting with Round 2,I informed my supervisor I am starting with Round 3,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,25,Male,Strongly disagree,Not familiar at all
2023-10-23 16:12:51,2023-10-23 16:18:45,IP Address,100,354,True,2023-10-23 16:18:46,R_BX5MMVSZMNxzcoF,anonymous,EN,0.8999999761581421,I consent,40,I informed my supervisor I am starting with Round 1,I informed my supervisor I am starting with Round 2,I informed my supervisor I am starting with Round 3,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,20,Female,Somewhat disagree,Slightly familiar
2023-10-23 16:16:57,2023-10-23 16:23:13,IP Address,100,375,True,2023-10-23 16:23:14,R_2yruxfZNyQCxikm,anonymous,EN,0.8999999761581421,I consent,26,I informed my supervisor I am starting with Round 1,I informed my supervisor I am starting with Round 2,I informed my supervisor I am starting with Round 3,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,21,Female,Strongly disagree,Not familiar at all
2023-10-23 16:25:38,2023-10-23 16:30:15,IP Address,100,277,True,2023-10-23 16:30:16,R_3mmiL1yxCe5yCIs,anonymous,EN,0.8999999761581421,I consent,27,I informed my supervisor I am starting with Round 1,I informed my supervisor I am starting with Round 2,I informed my supervisor I am starting with Round 3,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,25,Female,Strongly disagree,Not familiar at all
2023-10-23 16:22:19,2023-10-23 16:31:11,IP Address,100,532,True,2023-10-23 16:31:12,R_1FEC2pPjWpOhn6x,anonymous,EN,1,I consent,16,I informed my supervisor I am starting with Round 1,I informed my supervisor I am starting with Round 2,I informed my supervisor I am starting with Round 3,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,24,Male,Strongly disagree,Moderately familiar
2023-10-23 16:30:19,2023-10-23 16:34:55,IP Address,100,276,True,2023-10-23 16:34:56,R_1etJRsGC4QqBkNO,anonymous,EN,0.8999999761581421,I consent,28,I informed my supervisor I am starting with Round 1,I informed my supervisor I am starting with Round 2,I informed my supervisor I am starting with Round 3,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,23,Female,Strongly disagree,Not familiar at all
2023-10-23 16:32:23,2023-10-23 16:41:28,IP Address,100,545,True,2023-10-23 16:41:29,R_eW1syR4OmbQjH4l,anonymous,EN,1,I consent,20,I informed my supervisor I am starting with Round 1,I informed my supervisor I am starting with Round 2,I informed my supervisor I am starting with Round 3,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,23,Male,Strongly disagree,Slightly familiar
2023-10-24 03:05:25,2023-10-24 03:26:46,IP Address,100,1281,True,2023-10-24 03:26:47,R_27aud2TH4ODz8OO,anonymous,EN,1,I consent,19,I informed my supervisor I am starting with Round 1,I informed my supervisor I am starting with Round 2,I informed my supervisor I am starting with Round 3,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,22,Male,Strongly disagree,Very familiar
