affirm ==================================================

Combinations of 5 Words ------------------------------
in, the, part, of, town: 28
yes, in, the, north, part: 8
yes, in, the, north, of: 8
yes, in, the, north, town: 8
yes, in, north, part, of: 8
yes, in, north, part, town: 8
yes, in, north, of, town: 8
im, looking, for, a, in: 8
im, looking, restaurant, in, the: 8
im, for, a, restaurant, in: 8
looking, a, restaurant, in, the: 8
in, the, north, part, of: 8
in, the, north, part, town: 8
in, the, north, of, town: 8
in, north, part, of, town: 8
yes, i, restaurant, in, part: 8
yes, i, restaurant, in, of: 8
yes, i, restaurant, the, part: 8
yes, i, restaurant, the, of: 8
yes, i, restaurant, part, of: 8
yes, in, the, east, of: 8
yes, in, the, east, town: 8
yes, in, east, of, town: 8
yes, the, east, of, town: 8
can, i, restaurant, in, the: 8
i, restaurant, in, the, town: 8
i, restaurant, in, part, town: 8
i, restaurant, in, of, town: 8
i, restaurant, the, part, town: 8
i, restaurant, the, of, town: 8
i, restaurant, part, of, town: 8
in, the, east, of, town: 8
uh, yes, that, serves, food: 8
uh, yes, the, part, of: 8
uh, restaurant, in, the, part: 8
uh, restaurant, in, the, of: 8
uh, restaurant, in, part, of: 8
uh, restaurant, the, part, of: 8
uh, in, the, part, of: 8
uh, the, part, of, town: 8
in, the, west, part, of: 8
in, the, west, part, town: 8
in, the, west, of, town: 8
in, west, part, of, town: 8
the, west, part, of, town: 8
uh, yes, looking, for, restaurant: 8
uh, yes, i, a, restaurant: 7
uh, yes, i, restaurant, in: 7
uh, yes, i, restaurant, the: 7
uh, yes, i, in, the: 7
uh, i, a, restaurant, in: 7
uh, i, a, restaurant, the: 7
uh, i, a, in, the: 7
yes, i, a, restaurant, in: 7
yes, i, a, restaurant, the: 7
yes, i, a, in, the: 7
yes, im, looking, for, the: 7
yes, im, looking, a, in: 7
yes, im, for, a, in: 7
yes, im, a, restaurant, in: 7
yes, a, restaurant, in, north: 7
yes, a, restaurant, the, north: 7
yes, a, in, the, north: 7
yes, restaurant, in, the, north: 7
im, looking, for, restaurant, the: 7
im, looking, for, in, the: 7
im, looking, a, restaurant, the: 7
im, looking, a, in, the: 7
im, for, restaurant, in, the: 7
im, a, restaurant, in, the: 7
looking, for, a, restaurant, the: 7
looking, for, a, in, the: 7
looking, restaurant, in, the, of: 7
for, a, restaurant, in, the: 7
a, restaurant, in, the, north: 7
yes, can, i, a, restaurant: 7
yes, can, i, restaurant, in: 7
yes, can, i, restaurant, the: 7
yes, can, i, in, the: 7
yes, can, restaurant, in, the: 7
yes, i, restaurant, in, town: 7
yes, i, restaurant, the, town: 7
yes, i, restaurant, part, town: 7
yes, i, restaurant, of, town: 7
can, i, restaurant, in, part: 7
can, i, restaurant, in, of: 7
can, i, restaurant, in, town: 7
can, i, restaurant, the, part: 7
can, i, restaurant, the, of: 7
can, i, restaurant, the, town: 7
can, i, restaurant, part, of: 7
can, i, restaurant, part, town: 7
can, i, restaurant, of, town: 7
can, i, in, the, part: 7
can, i, in, the, of: 7
can, i, in, the, town: 7
can, i, in, part, of: 7
can, i, in, part, town: 7
can, i, in, of, town: 7
can, i, the, part, of: 7
can, i, the, part, town: 7
can, i, the, of, town: 7
can, i, part, of, town: 7
can, restaurant, in, the, part: 7
can, restaurant, in, the, of: 7
can, restaurant, in, the, town: 7
can, restaurant, in, part, of: 7
can, restaurant, in, part, town: 7
can, restaurant, in, of, town: 7
can, restaurant, the, part, of: 7
can, restaurant, the, part, town: 7
can, restaurant, the, of, town: 7
can, restaurant, part, of, town: 7
can, in, the, part, of: 7
can, in, the, part, town: 7
can, in, the, of, town: 7
can, in, part, of, town: 7
can, the, part, of, town: 7
uh, yes, restaurant, that, food: 7
uh, yes, restaurant, serves, food: 7
uh, restaurant, that, serves, food: 7
uh, yes, restaurant, in, part: 7
uh, yes, restaurant, in, of: 7
uh, yes, restaurant, the, part: 7
uh, yes, restaurant, the, of: 7
uh, yes, restaurant, part, of: 7
uh, yes, in, the, part: 7
uh, yes, in, the, of: 7
uh, yes, in, part, of: 7
uh, yes, the, part, town: 7
uh, yes, the, of, town: 7
uh, yes, part, of, town: 7
uh, i, the, part, of: 7
uh, restaurant, in, the, town: 7
uh, restaurant, in, part, town: 7
uh, restaurant, in, of, town: 7
uh, restaurant, the, part, town: 7
uh, restaurant, the, of, town: 7
uh, restaurant, part, of, town: 7
uh, in, the, part, town: 7
uh, in, the, of, town: 7
uh, in, part, of, town: 7
yes, west, part, of, town: 7
in, the, south, part, of: 7
in, the, south, of, town: 7
yes, a, restaurant, that, serves: 7
uh, yes, im, looking, for: 7
uh, yes, i, a, in: 6
uh, yes, i, a, the: 6
yes, restaurant, and, it, should: 6
yes, restaurant, and, it, serve: 6
yes, im, looking, restaurant, the: 6
yes, im, looking, in, the: 6
yes, im, for, restaurant, the: 6
yes, im, for, in, the: 6
yes, im, restaurant, in, the: 6
yes, looking, for, a, the: 6
yes, looking, a, restaurant, the: 6
yes, looking, a, in, the: 6
yes, for, a, restaurant, the: 6
yes, for, a, in, the: 6
im, looking, for, a, the: 6
im, for, a, restaurant, the: 6
im, for, a, in, the: 6
im, in, the, of, town: 6
looking, for, restaurant, in, part: 6
looking, for, restaurant, in, of: 6
looking, for, restaurant, the, part: 6
looking, for, restaurant, the, of: 6
looking, for, restaurant, part, of: 6
looking, for, in, the, part: 6
looking, for, in, the, of: 6
looking, for, in, part, of: 6
looking, for, the, part, of: 6
looking, restaurant, in, the, part: 6
looking, restaurant, in, the, town: 6
looking, restaurant, in, part, of: 6
looking, restaurant, in, of, town: 6
looking, restaurant, the, part, of: 6
looking, restaurant, the, of, town: 6
looking, in, the, part, of: 6
looking, in, the, of, town: 6
for, restaurant, in, the, part: 6
for, restaurant, in, the, of: 6
for, restaurant, in, part, of: 6
for, restaurant, the, part, of: 6
for, in, the, part, of: 6
yes, can, i, restaurant, part: 6
yes, can, i, restaurant, of: 6
yes, can, i, restaurant, town: 6
yes, can, i, in, part: 6
yes, can, i, in, of: 6
yes, can, i, in, town: 6
yes, can, i, the, part: 6
yes, can, i, the, of: 6
yes, can, i, the, town: 6
yes, can, i, part, of: 6
yes, can, i, part, town: 6
yes, can, i, of, town: 6
yes, can, restaurant, in, part: 6
yes, can, restaurant, in, of: 6
yes, can, restaurant, in, town: 6
yes, can, restaurant, the, part: 6
yes, can, restaurant, the, of: 6
yes, can, restaurant, the, town: 6
yes, can, restaurant, part, of: 6
yes, can, restaurant, part, town: 6
yes, can, restaurant, of, town: 6
yes, can, in, the, part: 6
yes, can, in, the, of: 6
yes, can, in, the, town: 6
yes, can, in, part, of: 6
yes, can, in, part, town: 6
yes, can, in, of, town: 6
yes, can, the, part, of: 6
yes, can, the, part, town: 6
yes, can, the, of, town: 6
yes, can, part, of, town: 6
yes, restaurant, in, the, east: 6
yes, in, the, east, part: 6
yes, in, east, part, of: 6
yes, in, east, part, town: 6
yes, the, east, part, of: 6
yes, the, east, part, town: 6
yes, east, part, of, town: 6
i, a, restaurant, in, part: 6
i, a, restaurant, in, of: 6
i, a, restaurant, in, town: 6
i, a, restaurant, the, part: 6
i, a, restaurant, the, of: 6
i, a, restaurant, the, town: 6
i, a, restaurant, part, of: 6
i, a, restaurant, part, town: 6
i, a, restaurant, of, town: 6
i, a, in, the, part: 6
i, a, in, the, of: 6
i, a, in, the, town: 6
i, a, in, part, of: 6
i, a, in, part, town: 6
i, a, in, of, town: 6
i, a, the, part, of: 6
i, a, the, part, town: 6
i, a, the, of, town: 6
i, a, part, of, town: 6
in, the, east, part, of: 6
in, the, east, part, town: 6
in, east, part, of, town: 6
the, east, part, of, town: 6
yes, can, i, expensive, restaurant: 6
uh, yes, can, i, restaurant: 6
uh, yes, i, the, part: 6
uh, yes, i, the, of: 6
uh, yes, i, part, of: 6
uh, yes, restaurant, in, town: 6
uh, yes, restaurant, the, town: 6
uh, yes, restaurant, part, town: 6
uh, yes, restaurant, of, town: 6
uh, yes, in, the, town: 6
uh, yes, in, part, town: 6
uh, yes, in, of, town: 6
uh, i, restaurant, in, part: 6
uh, i, restaurant, in, of: 6
uh, i, restaurant, the, part: 6
uh, i, restaurant, the, of: 6
uh, i, restaurant, part, of: 6
uh, i, in, the, part: 6
uh, i, in, the, of: 6
uh, i, in, part, of: 6
uh, i, the, part, town: 6
uh, i, the, of, town: 6
uh, i, part, of, town: 6
uh, a, restaurant, in, part: 6
uh, a, restaurant, in, of: 6
uh, a, restaurant, in, town: 6
uh, a, restaurant, the, part: 6
uh, a, restaurant, the, of: 6
uh, a, restaurant, the, town: 6
uh, a, restaurant, part, of: 6
uh, a, restaurant, part, town: 6
uh, a, restaurant, of, town: 6
uh, a, in, the, part: 6
uh, a, in, the, of: 6
uh, a, in, the, town: 6
uh, a, in, part, of: 6
uh, a, in, part, town: 6
uh, a, in, of, town: 6
uh, a, the, part, of: 6
uh, a, the, part, town: 6
uh, a, the, of, town: 6
uh, a, part, of, town: 6
yes, in, the, west, part: 6
yes, in, the, west, of: 6
yes, in, the, west, town: 6
yes, in, west, part, of: 6
yes, in, west, part, town: 6
yes, in, west, of, town: 6
yes, the, west, part, of: 6
yes, the, west, part, town: 6
yes, the, west, of, town: 6
restaurant, in, the, south, part: 6
restaurant, in, the, south, of: 6
restaurant, in, south, part, of: 6
restaurant, the, south, part, of: 6
in, the, south, part, town: 6
in, south, part, of, town: 6
the, south, part, of, town: 6
im, looking, for, restaurant, food: 6
im, looking, restaurant, that, serves: 6
im, looking, restaurant, that, food: 6
im, looking, restaurant, serves, food: 6
im, looking, that, serves, food: 6
im, restaurant, that, serves, food: 6
looking, for, that, serves, food: 6
looking, restaurant, that, serves, food: 6
a, restaurant, that, serves, food: 6
yes, i, restaurant, that, serves: 6
yes, i, that, serves, food: 6
yes, a, that, serves, food: 6
uh, yes, looking, for, food: 6
uh, yes, im, looking, restaurant: 6
uh, yes, im, for, restaurant: 6
uh, im, looking, for, restaurant: 6
yes, looking, that, serves, food: 6
uh, yes, a, it, serve: 5
uh, yes, restaurant, and, it: 5
uh, yes, restaurant, it, should: 5
uh, yes, restaurant, it, serve: 5
uh, yes, and, it, should: 5
uh, yes, and, it, serve: 5
uh, a, restaurant, it, serve: 5
uh, a, and, it, serve: 5
uh, restaurant, and, it, should: 5
uh, restaurant, and, it, serve: 5
yes, a, restaurant, it, serve: 5
yes, a, and, it, serve: 5
yes, restaurant, it, should, serve: 5
yes, and, it, should, serve: 5
a, restaurant, and, it, serve: 5
restaurant, and, it, should, serve: 5
yeah, im, looking, for, restaurant: 5
uh, yes, an, expensive, restaurant: 5
yes, im, looking, a, the: 5
yes, im, for, a, the: 5
yes, im, a, restaurant, the: 5
yes, im, a, in, the: 5
yes, looking, for, restaurant, part: 5
yes, looking, for, restaurant, of: 5
yes, looking, for, in, part: 5
yes, looking, for, in, of: 5
yes, looking, for, the, part: 5
yes, looking, for, the, of: 5
yes, looking, for, part, of: 5
yes, looking, restaurant, in, part: 5
yes, looking, restaurant, in, of: 5
yes, looking, restaurant, the, part: 5
yes, looking, restaurant, the, of: 5
yes, looking, restaurant, part, of: 5
yes, looking, in, the, part: 5
yes, looking, in, the, of: 5
yes, looking, in, part, of: 5
yes, looking, the, part, of: 5
yes, for, restaurant, in, part: 5
yes, for, restaurant, in, of: 5
yes, for, restaurant, the, part: 5
yes, for, restaurant, the, of: 5
yes, for, restaurant, part, of: 5
yes, for, in, the, part: 5
yes, for, in, the, of: 5
yes, for, in, part, of: 5
yes, for, the, part, of: 5
yes, a, restaurant, north, part: 5
yes, a, restaurant, north, of: 5
yes, a, restaurant, north, town: 5
yes, a, in, north, part: 5
yes, a, in, north, of: 5
yes, a, in, north, town: 5
yes, a, the, north, part: 5
yes, a, the, north, of: 5
yes, a, the, north, town: 5
yes, a, north, part, of: 5
yes, a, north, part, town: 5
yes, a, north, of, town: 5
yes, restaurant, in, north, part: 5
yes, restaurant, in, north, of: 5
yes, restaurant, in, north, town: 5
yes, restaurant, the, north, part: 5
yes, restaurant, the, north, of: 5
yes, restaurant, the, north, town: 5
yes, restaurant, north, part, of: 5
yes, restaurant, north, part, town: 5
yes, restaurant, north, of, town: 5
im, looking, restaurant, in, of: 5
im, looking, restaurant, in, town: 5
im, looking, restaurant, the, of: 5
im, looking, restaurant, the, town: 5
im, looking, restaurant, of, town: 5
im, looking, in, the, of: 5
im, looking, in, the, town: 5
im, looking, in, of, town: 5
im, looking, the, of, town: 5
im, restaurant, in, the, of: 5
im, restaurant, in, the, town: 5
im, restaurant, in, of, town: 5
im, restaurant, the, of, town: 5
im, in, the, part, of: 5
im, in, the, part, town: 5
im, in, part, of, town: 5
im, the, part, of, town: 5
looking, for, restaurant, in, town: 5
looking, for, restaurant, the, town: 5
looking, for, restaurant, part, town: 5
looking, for, restaurant, of, town: 5
looking, for, in, the, town: 5
looking, for, in, part, town: 5
looking, for, in, of, town: 5
looking, for, the, part, town: 5
looking, for, the, of, town: 5
looking, for, part, of, town: 5
looking, a, restaurant, in, of: 5
looking, a, restaurant, in, town: 5
looking, a, restaurant, the, of: 5
looking, a, restaurant, the, town: 5
looking, a, restaurant, of, town: 5
looking, a, in, the, of: 5
looking, a, in, the, town: 5
looking, a, in, of, town: 5
looking, a, the, of, town: 5
looking, restaurant, in, part, town: 5
looking, restaurant, the, part, town: 5
looking, restaurant, part, of, town: 5
looking, in, the, part, town: 5
looking, in, part, of, town: 5
looking, the, part, of, town: 5
for, restaurant, in, the, town: 5
for, restaurant, in, part, town: 5
for, restaurant, in, of, town: 5
for, restaurant, the, part, town: 5
for, restaurant, the, of, town: 5
for, restaurant, part, of, town: 5
for, in, the, part, town: 5
for, in, the, of, town: 5
for, in, part, of, town: 5
for, the, part, of, town: 5
a, restaurant, in, north, part: 5
a, restaurant, in, north, of: 5
a, restaurant, in, north, town: 5
a, restaurant, the, north, part: 5
a, restaurant, the, north, of: 5
a, restaurant, the, north, town: 5
a, restaurant, north, part, of: 5
a, restaurant, north, part, town: 5
a, restaurant, north, of, town: 5
a, in, the, north, part: 5
a, in, the, north, of: 5
a, in, the, north, town: 5
a, in, north, part, of: 5
a, in, north, part, town: 5
a, in, north, of, town: 5
a, the, north, part, of: 5
a, the, north, part, town: 5
a, the, north, of, town: 5
a, north, part, of, town: 5
restaurant, in, the, north, part: 5
restaurant, in, the, north, of: 5
restaurant, in, the, north, town: 5
restaurant, in, north, part, of: 5
restaurant, in, north, part, town: 5
restaurant, in, north, of, town: 5
restaurant, the, north, part, of: 5
restaurant, the, north, part, town: 5
restaurant, the, north, of, town: 5
restaurant, north, part, of, town: 5
yes, can, i, have, restaurant: 5
yes, i, a, restaurant, part: 5
yes, i, a, restaurant, of: 5
yes, i, a, restaurant, town: 5
yes, i, a, in, part: 5
yes, i, a, in, of: 5
yes, i, a, in, town: 5
yes, i, a, the, part: 5
yes, i, a, the, of: 5
yes, i, a, the, town: 5
yes, i, a, part, of: 5
yes, i, a, part, town: 5
yes, i, a, of, town: 5
yes, restaurant, in, east, of: 5
yes, restaurant, in, east, town: 5
yes, restaurant, the, east, of: 5
yes, restaurant, the, east, town: 5
yes, restaurant, east, of, town: 5
can, i, a, restaurant, in: 5
can, i, a, restaurant, the: 5
can, i, a, restaurant, part: 5
can, i, a, restaurant, of: 5
can, i, a, restaurant, town: 5
can, i, a, in, the: 5
can, i, a, in, part: 5
can, i, a, in, of: 5
can, i, a, in, town: 5
can, i, a, the, part: 5
can, i, a, the, of: 5
can, i, a, the, town: 5
can, i, a, part, of: 5
can, i, a, part, town: 5
can, i, a, of, town: 5
can, a, restaurant, in, the: 5
can, a, restaurant, in, part: 5
can, a, restaurant, in, of: 5
can, a, restaurant, in, town: 5
can, a, restaurant, the, part: 5
can, a, restaurant, the, of: 5
can, a, restaurant, the, town: 5
can, a, restaurant, part, of: 5
can, a, restaurant, part, town: 5
can, a, restaurant, of, town: 5
can, a, in, the, part: 5
can, a, in, the, of: 5
can, a, in, the, town: 5
can, a, in, part, of: 5
can, a, in, part, town: 5
can, a, in, of, town: 5
can, a, the, part, of: 5
can, a, the, part, town: 5
can, a, the, of, town: 5
can, a, part, of, town: 5
restaurant, in, the, east, of: 5
restaurant, in, the, east, town: 5
restaurant, in, east, of, town: 5
restaurant, the, east, of, town: 5
yes, i, an, expensive, restaurant: 5
yes, expensive, restaurant, in, the: 5
uh, yes, i, restaurant, part: 5
uh, yes, i, restaurant, of: 5
uh, yes, i, in, part: 5
uh, yes, i, in, of: 5
uh, yes, i, the, town: 5
uh, yes, i, part, town: 5
uh, yes, i, of, town: 5
uh, yes, a, restaurant, part: 5
uh, yes, a, restaurant, of: 5
uh, yes, a, restaurant, town: 5
uh, yes, a, in, part: 5
uh, yes, a, in, of: 5
uh, yes, a, in, town: 5
uh, yes, a, the, part: 5
uh, yes, a, the, of: 5
uh, yes, a, the, town: 5
uh, yes, a, part, of: 5
uh, yes, a, part, town: 5
uh, yes, a, of, town: 5
uh, can, i, a, restaurant: 5
uh, i, a, restaurant, part: 5
uh, i, a, restaurant, of: 5
uh, i, a, restaurant, town: 5
uh, i, a, in, part: 5
uh, i, a, in, of: 5
uh, i, a, in, town: 5
uh, i, a, the, part: 5
uh, i, a, the, of: 5
uh, i, a, the, town: 5
uh, i, a, part, of: 5
uh, i, a, part, town: 5
uh, i, a, of, town: 5
uh, i, restaurant, in, town: 5
uh, i, restaurant, the, town: 5
uh, i, restaurant, part, town: 5
uh, i, restaurant, of, town: 5
uh, i, in, the, town: 5
uh, i, in, part, town: 5
uh, i, in, of, town: 5
yes, a, moderately, priced, restaurant: 5
yes, restaurant, in, the, south: 5
yes, in, the, south, of: 5
restaurant, in, the, south, town: 5
restaurant, in, south, part, town: 5
restaurant, in, south, of, town: 5
restaurant, the, south, part, town: 5
restaurant, the, south, of, town: 5
restaurant, south, part, of, town: 5
i, restaurant, in, the, south: 5
im, looking, for, a, food: 5
im, looking, for, restaurant, that: 5
im, looking, for, restaurant, serves: 5
im, looking, for, that, serves: 5
im, looking, for, that, food: 5
im, looking, for, serves, food: 5
im, looking, a, restaurant, food: 5
im, for, a, restaurant, food: 5
im, for, restaurant, that, serves: 5
im, for, restaurant, that, food: 5
im, for, restaurant, serves, food: 5
im, for, that, serves, food: 5
looking, for, a, restaurant, food: 5
looking, for, restaurant, that, serves: 5
looking, for, restaurant, that, food: 5
looking, for, restaurant, serves, food: 5
for, restaurant, that, serves, food: 5
a, restaurant, in, that, serves: 5
in, the, part, of, that: 5
in, the, part, of, serves: 5
in, the, part, of, food: 5
in, the, part, town, that: 5
in, the, part, town, serves: 5
in, the, part, town, food: 5
in, the, part, that, serves: 5
in, the, of, town, that: 5
in, the, of, town, serves: 5
in, the, of, town, food: 5
in, the, of, that, serves: 5
in, the, town, that, serves: 5
in, part, of, town, that: 5
in, part, of, town, serves: 5
in, part, of, town, food: 5
in, part, of, that, serves: 5
in, part, town, that, serves: 5
in, of, town, that, serves: 5
the, part, of, town, that: 5
the, part, of, town, serves: 5
the, part, of, town, food: 5
the, part, of, that, serves: 5
the, part, town, that, serves: 5
the, of, town, that, serves: 5
part, of, town, that, serves: 5
uh, yes, i, find, restaurant: 5
uh, yes, a, restaurant, that: 5
uh, yes, a, restaurant, serves: 5
uh, yes, a, that, serves: 5
uh, i, find, a, restaurant: 5
uh, a, restaurant, that, serves: 5
yes, in, the, that, serves: 5
find, a, restaurant, in, the: 5
find, a, restaurant, in, part: 5
find, a, restaurant, in, of: 5
find, a, restaurant, in, town: 5
find, a, restaurant, the, part: 5
find, a, restaurant, the, of: 5
find, a, restaurant, the, town: 5
find, a, restaurant, part, of: 5
find, a, restaurant, part, town: 5
find, a, restaurant, of, town: 5
find, a, in, the, part: 5
find, a, in, the, of: 5
find, a, in, the, town: 5
find, a, in, part, of: 5
find, a, in, part, town: 5
find, a, in, of, town: 5
find, a, the, part, of: 5
find, a, the, part, town: 5
find, a, the, of, town: 5
find, a, part, of, town: 5
find, restaurant, in, the, part: 5
find, restaurant, in, the, of: 5
find, restaurant, in, the, town: 5
find, restaurant, in, part, of: 5
find, restaurant, in, part, town: 5
find, restaurant, in, of, town: 5
find, restaurant, the, part, of: 5
find, restaurant, the, part, town: 5
find, restaurant, the, of, town: 5
find, restaurant, part, of, town: 5
find, in, the, part, of: 5
find, in, the, part, town: 5
find, in, the, of, town: 5
find, in, part, of, town: 5
find, the, part, of, town: 5
yes, a, restaurant, that, food: 5
yes, a, restaurant, serves, food: 5
uh, can, i, find, restaurant: 5
uh, yes, im, looking, food: 5
uh, yes, im, for, food: 5
uh, im, looking, for, food: 5
yes, im, looking, restaurant, that: 5
yes, im, looking, restaurant, serves: 5
yes, im, looking, restaurant, food: 5
yes, im, looking, that, serves: 5
yes, im, looking, that, food: 5
yes, im, looking, serves, food: 5
yes, im, restaurant, that, serves: 5
yes, im, restaurant, that, food: 5
yes, im, restaurant, serves, food: 5
yes, im, that, serves, food: 5
yes, looking, for, that, serves: 5
yes, looking, for, that, food: 5
yes, looking, for, serves, food: 5
yes, looking, restaurant, that, serves: 5
yes, looking, restaurant, that, food: 5
yes, looking, restaurant, serves, food: 5
yes, for, that, serves, food: 5
uh, yes, a, restaurant, food: 5
uh, yes, looking, for, a: 5
uh, yes, looking, for, in: 5
uh, yes, looking, a, restaurant: 5
uh, yes, looking, restaurant, in: 5
uh, yes, for, a, restaurant: 5
uh, yes, for, restaurant, in: 5
uh, looking, for, a, restaurant: 5
uh, looking, for, restaurant, in: 5
uh, yes, i, it, serve: 4
uh, yes, a, restaurant, it: 4
uh, yes, a, restaurant, serve: 4
uh, yes, a, and, it: 4
uh, yes, a, and, serve: 4
uh, yes, a, it, should: 4
uh, yes, restaurant, and, should: 4
uh, yes, restaurant, and, serve: 4
uh, yes, it, should, serve: 4
uh, i, a, it, serve: 4
uh, i, restaurant, it, serve: 4
uh, i, and, it, serve: 4
uh, a, restaurant, and, it: 4
uh, a, restaurant, and, serve: 4
uh, a, restaurant, it, should: 4
uh, a, and, it, should: 4
uh, a, it, should, serve: 4
uh, restaurant, it, should, serve: 4
uh, and, it, should, serve: 4
yes, i, a, it, serve: 4
yes, i, restaurant, it, serve: 4
yes, i, and, it, serve: 4
yes, like, a, restaurant, in: 4
yes, like, a, restaurant, the: 4
yes, like, a, in, the: 4
yes, like, restaurant, in, the: 4
yes, a, restaurant, and, it: 4
yes, a, restaurant, and, serve: 4
yes, a, restaurant, it, should: 4
yes, a, and, it, should: 4
yes, a, it, should, serve: 4
yes, restaurant, and, should, serve: 4
i, a, restaurant, it, serve: 4
i, a, and, it, serve: 4
i, restaurant, and, it, serve: 4
like, a, restaurant, in, the: 4
a, restaurant, and, it, should: 4
a, restaurant, it, should, serve: 4
a, and, it, should, serve: 4
yeah, im, looking, for, a: 4
yeah, im, looking, a, restaurant: 4
yeah, im, for, a, restaurant: 4
yeah, looking, for, a, restaurant: 4
yes, im, looking, for, north: 4
yes, im, looking, a, north: 4
yes, im, looking, restaurant, north: 4
yes, im, looking, in, north: 4
yes, im, looking, the, north: 4
yes, im, for, a, north: 4
yes, im, for, restaurant, north: 4
yes, im, for, in, north: 4
yes, im, for, the, north: 4
yes, im, a, restaurant, north: 4
yes, im, a, in, north: 4
yes, im, a, the, north: 4
yes, im, restaurant, in, north: 4
yes, im, restaurant, the, north: 4
yes, im, in, the, north: 4
yes, looking, for, a, north: 4
yes, looking, for, a, of: 4
yes, looking, for, restaurant, north: 4
yes, looking, for, restaurant, town: 4
yes, looking, for, in, north: 4
yes, looking, for, in, town: 4
yes, looking, for, the, north: 4
yes, looking, for, the, town: 4
yes, looking, for, part, town: 4
yes, looking, for, of, town: 4
yes, looking, a, restaurant, north: 4
yes, looking, a, in, north: 4
yes, looking, a, the, north: 4
yes, looking, restaurant, in, north: 4
yes, looking, restaurant, in, town: 4
yes, looking, restaurant, the, north: 4
yes, looking, restaurant, the, town: 4
yes, looking, restaurant, part, town: 4
yes, looking, restaurant, of, town: 4
yes, looking, in, the, north: 4
yes, looking, in, the, town: 4
yes, looking, in, part, town: 4
yes, looking, in, of, town: 4
yes, looking, the, part, town: 4
yes, looking, the, of, town: 4
yes, looking, part, of, town: 4
yes, for, a, restaurant, north: 4
yes, for, a, in, north: 4
yes, for, a, the, north: 4
yes, for, restaurant, in, north: 4
