confirm ==================================================

Combinations of 5 Words ------------------------------
is, in, the, of, town: 28
okay, is, it, of, town: 2
okay, is, in, the, north: 2
okay, is, in, north, of: 2
okay, is, in, north, town: 2
okay, is, the, north, of: 2
okay, is, the, north, town: 2
okay, is, north, of, town: 2
okay, it, in, the, of: 2
okay, it, in, the, town: 2
okay, it, in, of, town: 2
okay, it, the, of, town: 2
okay, in, the, north, of: 2
okay, in, the, north, town: 2
okay, in, north, of, town: 2
okay, the, north, of, town: 2
is, a, moderately, priced, restaurant: 2
does, it, serve, hungarian, food: 2
does, it, serve, korean, food: 2
is, it, in, the, east: 2
is, it, in, east, of: 2
is, it, in, east, town: 2
is, it, the, east, part: 2
is, it, east, part, of: 2
is, it, east, part, town: 2
is, in, the, east, of: 2
is, in, the, east, town: 2
is, in, east, of, town: 2
is, the, east, part, of: 2
is, the, east, part, town: 2
is, east, part, of, town: 2
it, in, the, east, of: 2
it, in, the, east, town: 2
it, in, east, of, town: 2
it, the, east, part, of: 2
it, the, east, part, town: 2
it, east, part, of, town: 2
in, the, east, of, town: 2
the, east, part, of, town: 2
is, it, an, expensive, restaurant: 2
is, it, in, the, moderate: 2
is, it, in, moderate, price: 2
is, it, in, moderate, range: 2
is, it, the, moderate, price: 2
is, it, the, moderate, range: 2
is, it, moderate, price, range: 2
is, in, the, moderate, price: 2
is, in, the, moderate, range: 2
is, in, moderate, price, range: 2
is, the, moderate, price, range: 2
it, in, the, moderate, price: 2
it, in, the, moderate, range: 2
it, in, moderate, price, range: 2
it, the, moderate, price, range: 2
in, the, moderate, price, range: 2
is, there, a, restaurant, west: 2
is, there, a, in, west: 2
is, there, a, the, west: 2
is, there, a, west, of: 2
is, there, a, west, town: 2
is, there, restaurant, in, west: 2
is, there, restaurant, the, west: 2
is, there, restaurant, west, of: 2
is, there, restaurant, west, town: 2
is, there, in, the, west: 2
is, there, in, west, of: 2
is, there, in, west, town: 2
is, there, the, west, of: 2
is, there, the, west, town: 2
is, there, west, of, town: 2
is, a, restaurant, in, west: 2
is, a, restaurant, the, west: 2
is, a, restaurant, west, of: 2
is, a, restaurant, west, town: 2
is, a, in, the, west: 2
is, a, in, west, of: 2
is, a, in, west, town: 2
is, a, the, west, of: 2
is, a, the, west, town: 2
is, a, west, of, town: 2
is, restaurant, in, the, west: 2
is, restaurant, in, west, of: 2
is, restaurant, in, west, town: 2
is, restaurant, the, west, of: 2
is, restaurant, the, west, town: 2
is, restaurant, west, of, town: 2
there, a, restaurant, in, west: 2
there, a, restaurant, the, west: 2
there, a, restaurant, west, of: 2
there, a, restaurant, west, town: 2
there, a, in, the, west: 2
there, a, in, west, of: 2
there, a, in, west, town: 2
there, a, the, west, of: 2
there, a, the, west, town: 2
there, a, west, of, town: 2
there, restaurant, in, the, west: 2
there, restaurant, in, west, of: 2
there, restaurant, in, west, town: 2
there, restaurant, the, west, of: 2
there, restaurant, the, west, town: 2
there, restaurant, west, of, town: 2
there, in, the, west, of: 2
there, in, the, west, town: 2
there, in, west, of, town: 2
there, the, west, of, town: 2
a, restaurant, in, the, west: 2
a, restaurant, in, west, of: 2
a, restaurant, in, west, town: 2
a, restaurant, the, west, of: 2
a, restaurant, the, west, town: 2
a, restaurant, west, of, town: 2
a, in, the, west, of: 2
a, in, the, west, town: 2
a, in, west, of, town: 2
a, the, west, of, town: 2
restaurant, in, the, west, of: 2
restaurant, in, the, west, town: 2
restaurant, in, west, of, town: 2
restaurant, the, west, of, town: 2
do, they, serve, unintelligible, food: 2
okay, is, in, the, part: 2
okay, is, in, part, of: 2
okay, is, in, part, town: 2
okay, is, the, part, of: 2
okay, is, the, part, town: 2
okay, is, part, of, town: 2
okay, in, the, part, of: 2
okay, in, the, part, town: 2
okay, in, part, of, town: 2
okay, the, part, of, town: 2
is, there, a, chinese, restaurant: 2
is, there, a, restaurant, part: 2
is, there, a, in, part: 2
is, there, a, the, part: 2
is, there, a, part, of: 2
is, there, a, part, town: 2
is, there, restaurant, in, part: 2
is, there, restaurant, the, part: 2
is, there, restaurant, part, of: 2
is, there, restaurant, part, town: 2
is, there, in, the, part: 2
is, there, in, part, of: 2
is, there, in, part, town: 2
is, there, the, part, of: 2
is, there, the, part, town: 2
is, there, part, of, town: 2
is, a, restaurant, in, part: 2
is, a, restaurant, the, part: 2
is, a, restaurant, part, of: 2
is, a, restaurant, part, town: 2
is, a, in, the, part: 2
is, a, in, part, of: 2
is, a, in, part, town: 2
is, a, the, part, of: 2
is, a, the, part, town: 2
is, a, part, of, town: 2
is, restaurant, in, the, part: 2
is, restaurant, in, part, of: 2
is, restaurant, in, part, town: 2
is, restaurant, the, part, of: 2
is, restaurant, the, part, town: 2
is, restaurant, part, of, town: 2
there, a, restaurant, in, part: 2
there, a, restaurant, the, part: 2
there, a, restaurant, part, of: 2
there, a, restaurant, part, town: 2
there, a, in, the, part: 2
there, a, in, part, of: 2
there, a, in, part, town: 2
there, a, the, part, of: 2
there, a, the, part, town: 2
there, a, part, of, town: 2
there, restaurant, in, the, part: 2
there, restaurant, in, part, of: 2
there, restaurant, in, part, town: 2
there, restaurant, the, part, of: 2
there, restaurant, the, part, town: 2
there, restaurant, part, of, town: 2
there, in, the, part, of: 2
there, in, the, part, town: 2
there, in, part, of, town: 2
there, the, part, of, town: 2
a, restaurant, in, the, part: 2
a, restaurant, in, part, of: 2
a, restaurant, in, part, town: 2
a, restaurant, the, part, of: 2
a, restaurant, the, part, town: 2
a, restaurant, part, of, town: 2
a, in, the, part, of: 2
a, in, the, part, town: 2
a, in, part, of, town: 2
a, the, part, of, town: 2
restaurant, in, the, part, of: 2
restaurant, in, the, part, town: 2
restaurant, in, part, of, town: 2
restaurant, the, part, of, town: 2
does, it, serve, type, of: 2
does, it, serve, of, food: 2
does, it, type, of, food: 2
does, serve, type, of, food: 2
it, serve, type, of, food: 2
is, there, a, thai, restaurant: 2
does, it, serve, indian, food: 2

Combinations of 4 Words ------------------------------
does, it, serve, food: 38
is, the, of, town: 32
is, in, the, of: 29
is, in, the, town: 28
is, in, of, town: 28
in, the, of, town: 28
is, it, in, the: 28
is, it, the, of: 23
is, the, part, of: 22
is, part, of, town: 22
the, part, of, town: 22
is, it, in, of: 22
is, it, the, town: 22
is, it, of, town: 22
it, in, the, of: 22
it, the, of, town: 22
is, the, part, town: 21
is, it, in, town: 21
it, in, the, town: 21
it, in, of, town: 21
is, in, the, part: 18
is, in, part, of: 18
in, the, part, of: 18
is, in, part, town: 17
in, the, part, town: 17
in, part, of, town: 17
is, it, the, part: 15
is, it, part, of: 15
it, the, part, of: 15
is, it, in, part: 14
is, it, part, town: 14
it, in, the, part: 14
it, in, part, of: 14
it, the, part, town: 14
it, part, of, town: 14
it, in, part, town: 13
is, there, a, restaurant: 12
is, the, north, of: 11
is, north, part, of: 11
is, north, of, town: 11
the, north, part, of: 11
the, north, of, town: 11
north, part, of, town: 11
is, the, north, part: 10
is, the, north, town: 10
is, north, part, town: 10
the, north, part, town: 10
is, in, the, center: 10
is, it, moderately, priced: 10
is, in, the, north: 9
is, in, north, of: 9
in, the, north, of: 9
is, in, north, part: 8
is, in, north, town: 8
in, the, north, part: 8
in, the, north, town: 8
in, north, part, of: 8
in, north, of, town: 8
is, it, in, center: 8
is, it, the, center: 8
it, in, the, center: 8
in, north, part, town: 7
do, they, serve, food: 7
that, part, of, town: 6
is, it, in, north: 6
is, it, the, north: 6
is, it, north, of: 6
it, in, the, north: 6
it, in, north, of: 6
it, the, north, of: 6
is, in, center, of: 6
is, in, center, town: 6
is, the, center, of: 6
is, the, center, town: 6
is, center, of, town: 6
in, the, center, of: 6
in, the, center, town: 6
in, center, of, town: 6
the, center, of, town: 6
is, in, the, west: 6
is, in, west, of: 6
is, in, west, town: 6
is, the, west, of: 6
is, the, west, town: 6
is, west, of, town: 6
in, the, west, of: 6
in, the, west, town: 6
in, west, of, town: 6
the, west, of, town: 6
is, the, south, part: 6
is, the, south, of: 6
is, the, south, town: 6
is, south, part, of: 6
is, south, part, town: 6
is, south, of, town: 6
the, south, part, of: 6
the, south, part, town: 6
the, south, of, town: 6
south, part, of, town: 6
is, that, part, of: 5
is, that, part, town: 5
is, that, of, town: 5
that, the, part, of: 5
that, the, part, town: 5
that, the, of, town: 5
that, north, part, of: 5
that, north, part, town: 5
that, north, of, town: 5
does, it, serve, canapes: 5
is, it, north, part: 5
is, it, north, town: 5
it, in, north, part: 5
it, in, north, town: 5
it, the, north, part: 5
it, the, north, town: 5
it, north, part, of: 5
it, north, of, town: 5
is, there, a, food: 5
is, it, center, of: 5
is, it, center, town: 5
it, in, center, of: 5
it, in, center, town: 5
it, the, center, of: 5
it, the, center, town: 5
it, center, of, town: 5
is, in, the, south: 5
is, in, south, part: 5
is, in, south, of: 5
is, in, south, town: 5
in, the, south, part: 5
in, the, south, of: 5
in, the, south, town: 5
in, south, part, of: 5
in, south, part, town: 5
in, south, of, town: 5
is, there, a, in: 5
is, there, a, the: 5
is, there, a, of: 5
is, there, a, town: 5
is, there, restaurant, in: 5
is, there, restaurant, the: 5
is, there, restaurant, of: 5
is, there, restaurant, town: 5
is, there, in, the: 5
is, there, in, of: 5
is, there, in, town: 5
is, there, the, of: 5
is, there, the, town: 5
is, there, of, town: 5
is, a, restaurant, in: 5
is, a, restaurant, the: 5
is, a, restaurant, of: 5
is, a, restaurant, town: 5
is, a, in, the: 5
is, a, in, of: 5
is, a, in, town: 5
is, a, the, of: 5
is, a, the, town: 5
is, a, of, town: 5
is, restaurant, in, the: 5
is, restaurant, in, of: 5
is, restaurant, in, town: 5
is, restaurant, the, of: 5
is, restaurant, the, town: 5
is, restaurant, of, town: 5
there, a, restaurant, in: 5
there, a, restaurant, the: 5
there, a, restaurant, of: 5
there, a, restaurant, town: 5
there, a, in, the: 5
there, a, in, of: 5
there, a, in, town: 5
there, a, the, of: 5
there, a, the, town: 5
there, a, of, town: 5
there, restaurant, in, the: 5
there, restaurant, in, of: 5
there, restaurant, in, town: 5
there, restaurant, the, of: 5
there, restaurant, the, town: 5
there, restaurant, of, town: 5
there, in, the, of: 5
there, in, the, town: 5
there, in, of, town: 5
there, the, of, town: 5
a, restaurant, in, the: 5
a, restaurant, in, of: 5
a, restaurant, in, town: 5
a, restaurant, the, of: 5
a, restaurant, the, town: 5
a, restaurant, of, town: 5
a, in, the, of: 5
a, in, the, town: 5
a, in, of, town: 5
a, the, of, town: 5
restaurant, in, the, of: 5
restaurant, in, the, town: 5
restaurant, in, of, town: 5
restaurant, the, of, town: 5
is, that, the, part: 4
is, that, the, of: 4
is, that, the, town: 4
is, that, north, part: 4
is, that, north, of: 4
is, that, north, town: 4
that, the, north, part: 4
that, the, north, of: 4
that, the, north, town: 4
does, it, canapes, food: 4
does, serve, canapes, food: 4
it, serve, canapes, food: 4
it, north, part, town: 4
is, it, in, west: 4
is, it, the, west: 4
is, it, west, part: 4
is, it, west, of: 4
is, it, west, town: 4
is, in, west, part: 4
is, the, west, part: 4
is, west, part, of: 4
is, west, part, town: 4
it, in, the, west: 4
it, in, west, part: 4
it, in, west, of: 4
it, in, west, town: 4
it, the, west, part: 4
it, the, west, of: 4
it, the, west, town: 4
it, west, part, of: 4
it, west, part, town: 4
it, west, of, town: 4
in, the, west, part: 4
in, west, part, of: 4
in, west, part, town: 4
the, west, part, of: 4
the, west, part, town: 4
west, part, of, town: 4
is, it, in, south: 4
is, it, the, south: 4
is, it, south, part: 4
is, it, south, of: 4
is, it, south, town: 4
it, in, the, south: 4
it, in, south, part: 4
it, in, south, of: 4
it, in, south, town: 4
it, the, south, part: 4
it, the, south, of: 4
it, the, south, town: 4
it, south, part, of: 4
it, south, part, town: 4
it, south, of, town: 4
is, there, a, chinese: 4
is, that, in, the: 3
is, that, the, north: 3
is, it, moderate, priced: 3
does, it, serve, thai: 3
does, it, thai, food: 3
does, serve, thai, food: 3
it, serve, thai, food: 3
is, there, a, that: 3
is, there, a, vietnamese: 3
is, there, that, food: 3
is, a, that, food: 3
there, a, that, food: 3
does, it, serve, african: 3
okay, is, in, the: 3
okay, is, in, of: 3
okay, is, in, town: 3
okay, is, the, of: 3
okay, is, the, town: 3
okay, is, of, town: 3
okay, in, the, of: 3
okay, in, the, town: 3
okay, in, of, town: 3
okay, the, of, town: 3
does, it, serve, korean: 3
is, it, the, east: 3
is, it, east, of: 3
is, it, east, town: 3
is, the, east, of: 3
is, the, east, town: 3
is, east, of, town: 3
it, the, east, of: 3
it, the, east, town: 3
it, east, of, town: 3
the, east, of, town: 3
is, an, expensive, restaurant: 3
is, it, in, price: 3
is, it, in, range: 3
is, it, the, price: 3
is, it, the, range: 3
is, it, price, range: 3
is, in, the, price: 3
is, in, the, range: 3
is, in, price, range: 3
is, the, price, range: 3
it, in, the, price: 3
it, in, the, range: 3
it, in, price, range: 3
it, the, price, range: 3
in, the, price, range: 3
does, it, serve, chinese: 3
does, it, chinese, food: 3
does, serve, chinese, food: 3
it, serve, chinese, food: 3
does, it, serve, type: 3
does, it, type, food: 3
does, serve, type, food: 3
it, serve, type, food: 3
does, it, serve, fusion: 2
does, it, fusion, food: 2
does, serve, fusion, food: 2
it, serve, fusion, food: 2
is, that, in, north: 2
is, that, in, part: 2
is, that, in, of: 2
is, that, in, town: 2
that, in, the, north: 2
that, in, the, part: 2
that, in, the, of: 2
that, in, the, town: 2
that, in, north, part: 2
that, in, north, of: 2
that, in, north, town: 2
that, in, part, of: 2
that, in, part, town: 2
that, in, of, town: 2
does, it, serve, kitalian: 2
does, it, kitalian, food: 2
does, serve, kitalian, food: 2
it, serve, kitalian, food: 2
is, it, chinese, food: 2
is, there, a, serves: 2
is, there, restaurant, that: 2
is, there, restaurant, serves: 2
is, there, restaurant, food: 2
is, there, that, serves: 2
is, there, that, vietnamese: 2
is, there, serves, food: 2
is, there, vietnamese, food: 2
is, a, cheap, restaurant: 2
is, a, restaurant, that: 2
is, a, restaurant, serves: 2
is, a, restaurant, food: 2
is, a, that, serves: 2
is, a, that, vietnamese: 2
is, a, serves, food: 2
is, a, vietnamese, food: 2
is, restaurant, that, serves: 2
is, restaurant, that, food: 2
is, restaurant, serves, food: 2
is, that, serves, food: 2
is, that, vietnamese, food: 2
there, a, restaurant, that: 2
there, a, restaurant, serves: 2
there, a, restaurant, food: 2
there, a, that, serves: 2
there, a, that, vietnamese: 2
there, a, serves, food: 2
there, a, vietnamese, food: 2
there, restaurant, that, serves: 2
there, restaurant, that, food: 2
there, restaurant, serves, food: 2
there, that, serves, food: 2
there, that, vietnamese, food: 2
a, restaurant, that, serves: 2
a, restaurant, that, food: 2
a, restaurant, serves, food: 2
a, that, serves, food: 2
a, that, vietnamese, food: 2
restaurant, that, serves, food: 2
does, it, serve, spanish: 2
does, it, spanish, food: 2
does, serve, spanish, food: 2
it, serve, spanish, food: 2
is, it, serving, food: 2
does, it, african, food: 2
does, serve, african, food: 2
it, serve, african, food: 2
okay, is, it, in: 2
okay, is, it, the: 2
okay, is, it, of: 2
okay, is, it, town: 2
okay, is, in, north: 2
okay, is, the, north: 2
okay, is, north, of: 2
okay, is, north, town: 2
okay, it, in, the: 2
okay, it, in, of: 2
okay, it, in, town: 2
okay, it, the, of: 2
okay, it, the, town: 2
okay, it, of, town: 2
okay, in, the, north: 2
okay, in, north, of: 2
okay, in, north, town: 2
okay, the, north, of: 2
okay, the, north, town: 2
okay, north, of, town: 2
is, there, a, british: 2
is, a, moderately, priced: 2
is, a, moderately, restaurant: 2
is, a, priced, restaurant: 2
is, moderately, priced, restaurant: 2
is, that, british, food: 2
a, moderately, priced, restaurant: 2
does, it, serve, hungarian: 2
does, it, hungarian, food: 2
does, serve, hungarian, food: 2
it, serve, hungarian, food: 2
does, it, serve, gastropub: 2
does, it, korean, food: 2
does, serve, korean, food: 2
it, serve, korean, food: 2
is, it, in, east: 2
is, it, east, part: 2
is, in, the, east: 2
is, in, east, of: 2
is, in, east, town: 2
is, the, east, part: 2
is, east, part, of: 2
is, east, part, town: 2
it, in, the, east: 2
it, in, east, of: 2
it, in, east, town: 2
it, the, east, part: 2
it, east, part, of: 2
it, east, part, town: 2
in, the, east, of: 2
in, the, east, town: 2
in, east, of, town: 2
the, east, part, of: 2
the, east, part, town: 2
east, part, of, town: 2
is, it, an, expensive: 2
is, it, an, restaurant: 2
is, it, expensive, restaurant: 2
it, an, expensive, restaurant: 2
is, it, in, moderate: 2
is, it, the, moderate: 2
is, it, moderate, price: 2
is, it, moderate, range: 2
is, in, the, moderate: 2
is, in, moderate, price: 2
is, in, moderate, range: 2
is, the, moderate, price: 2
is, the, moderate, range: 2
is, moderate, price, range: 2
it, in, the, moderate: 2
it, in, moderate, price: 2
it, in, moderate, range: 2
it, the, moderate, price: 2
it, the, moderate, range: 2
it, moderate, price, range: 2
in, the, moderate, price: 2
in, the, moderate, range: 2
in, moderate, price, range: 2
the, moderate, price, range: 2
do, they, turkish, food: 2
is, there, a, west: 2
is, there, restaurant, west: 2
is, there, in, west: 2
is, there, the, west: 2
is, there, west, of: 2
is, there, west, town: 2
is, a, restaurant, west: 2
is, a, in, west: 2
is, a, the, west: 2
is, a, west, of: 2
is, a, west, town: 2
is, restaurant, in, west: 2
is, restaurant, the, west: 2
is, restaurant, west, of: 2
is, restaurant, west, town: 2
there, a, restaurant, west: 2
there, a, in, west: 2
there, a, the, west: 2
there, a, west, of: 2
there, a, west, town: 2
there, restaurant, in, west: 2
there, restaurant, the, west: 2
there, restaurant, west, of: 2
there, restaurant, west, town: 2
there, in, the, west: 2
there, in, west, of: 2
there, in, west, town: 2
there, the, west, of: 2
there, the, west, town: 2
there, west, of, town: 2
a, restaurant, in, west: 2
a, restaurant, the, west: 2
a, restaurant, west, of: 2
a, restaurant, west, town: 2
a, in, the, west: 2
a, in, west, of: 2
a, in, west, town: 2
a, the, west, of: 2
a, the, west, town: 2
a, west, of, town: 2
restaurant, in, the, west: 2
restaurant, in, west, of: 2
restaurant, in, west, town: 2
restaurant, the, west, of: 2
restaurant, the, west, town: 2
restaurant, west, of, town: 2
do, they, serve, unintelligible: 2
do, they, unintelligible, food: 2
do, serve, unintelligible, food: 2
they, serve, unintelligible, food: 2
okay, is, in, part: 2
okay, is, the, part: 2
okay, is, part, of: 2
okay, is, part, town: 2
okay, in, the, part: 2
okay, in, part, of: 2
okay, in, part, town: 2
okay, the, part, of: 2
okay, the, part, town: 2
okay, part, of, town: 2
is, there, a, part: 2
is, there, chinese, restaurant: 2
is, there, restaurant, part: 2
is, there, in, part: 2
is, there, the, part: 2
is, there, part, of: 2
is, there, part, town: 2
is, a, chinese, restaurant: 2
is, a, restaurant, part: 2
is, a, in, part: 2
is, a, the, part: 2
is, a, part, of: 2
is, a, part, town: 2
is, restaurant, in, part: 2
is, restaurant, the, part: 2
is, restaurant, part, of: 2
is, restaurant, part, town: 2
there, a, chinese, restaurant: 2
there, a, restaurant, part: 2
there, a, in, part: 2
there, a, the, part: 2
there, a, part, of: 2
there, a, part, town: 2
there, restaurant, in, part: 2
there, restaurant, the, part: 2
there, restaurant, part, of: 2
there, restaurant, part, town: 2
there, in, the, part: 2
there, in, part, of: 2
there, in, part, town: 2
there, the, part, of: 2
there, the, part, town: 2
there, part, of, town: 2
a, restaurant, in, part: 2
a, restaurant, the, part: 2
a, restaurant, part, of: 2
a, restaurant, part, town: 2
a, in, the, part: 2
a, in, part, of: 2
a, in, part, town: 2
a, the, part, of: 2
a, the, part, town: 2
a, part, of, town: 2
restaurant, in, the, part: 2
restaurant, in, part, of: 2
restaurant, in, part, town: 2
restaurant, the, part, of: 2
restaurant, the, part, town: 2
restaurant, part, of, town: 2
does, it, serve, of: 2
does, it, type, of: 2
does, it, of, food: 2
does, serve, type, of: 2
does, serve, of, food: 2
does, type, of, food: 2
it, serve, type, of: 2
it, serve, of, food: 2
it, type, of, food: 2
serve, type, of, food: 2
is, there, a, thai: 2
is, there, thai, restaurant: 2
is, a, thai, restaurant: 2
