restaurantname,pricerange,area,food,phone,addr,postcode,quality,crowdedness,lengthofstay
ask,cheap,centre,seafood,01223 364917,12 bridge street city centre,c.b 2,excellent,quiet,average
taj tandoori,expensive,south,portuguese,01223 412299,64 cherry hinton road cherry hinton,c.b 1,good,airy,long
tandoori palace,moderate,north,indian,01223 506055,68 histon road chesterton,c.b 4,bad,quiet,average
yippee noodle bar,cheap,centre,asian oriental,01223 518111,40428 king street city centre,c.b 1,terrible,quiet,short
travellers rest,expensive,west,british,01223 276182,huntingdon road city centre,,okay,quiet,short
maharajah tandoori restaurant,expensive,east,indian,01223 358399,41518 castle street city centre,c.b 3,terrible,quiet,long
shanghai family restaurant,moderate,east,chinese,01223 301761,39 burleigh street city centre,,good,busy,long
curry prince,expensive,east,indian,01223 566388,451 newmarket road fen ditton,c.b 5,okay,airy,long
the gandhi,cheap,centre,indian,01223 353942,72 regent street city centre,,terrible,busy,short
kymmoy,expensive,centre,asian oriental,01223 311911,52 mill road city centre,c.b 1,okay,airy,average
golden house,cheap,centre,polynesian,01842 753771,12 lensfield road city centre,,bad,quiet,short
bedouin,expensive,centre,african,01223 367660,100 mill road city centre,c.b 1,excellent,quiet,long
pipasha restaurant,expensive,east,indian,01223 577786,newmarket road fen ditton,c.b 5,okay,airy,average
charlie chan,cheap,centre,chinese,01223 361763,regent street city centre,c.b 2,bad,quiet,short
lan hong house,moderate,centre,thai,01223 350420,12 norfolk street city centre,,excellent,airy,long
la tasca,moderate,centre,spanish,01223 464630,14 -16 bridge street,c.b 2,okay,airy,long
backstreet bistro,expensive,south,gastropub,01223 306306,2 sturton street city centre,c.b 1,excellent,busy,average
la raza,cheap,centre,spanish,01223 464550,4 - 6 rose crescent,c.b 2,okay,quiet,short
the slug and lettuce,expensive,east,gastropub,dontcare,34 - 35 green street,c.b 2,okay,quiet,long
restaurant one seven,moderate,north,moroccan,01223 337766,de vere university arms regent street city centre,,excellent,airy,short
fitzbillies restaurant,expensive,centre,british,01223 352500,51 trumpington street city centre,,bad,airy,short
anatolia,moderate,centre,turkish,01223 362372,30 bridge street city centre,c.b 2,bad,busy,short
clowns cafe,moderate,centre,bistro,01223 355711,,c.b 1,okay,quiet,long
kohinoor,cheap,west,indian,01223 323639,74 mill road city centre,,good,quiet,average
the cambridge chop house,cheap,centre,british,01223 359506,1 kings parade,,excellent,airy,long
gourmet burger kitchen,expensive,centre,north american,01223 312598,regent street city centre,c.b 2,good,airy,long
la mimosa,expensive,centre,spanish,01223 362525,thompsons lane fen ditton,c.b 5,okay,quiet,short
meze bar restaurant,expensive,centre,turkish,,196 mill road city centre,c.b 1,okay,airy,average
the golden curry,expensive,south,australasian,01223 329432,,,good,quiet,long
curry queen,moderate,,indian,,106 mill road city centre,c.b 1,terrible,airy,short
hakka,cheap,north,persian,01223 568988,milton road chesterton,c.b 4,okay,busy,short
the oak bistro,moderate,centre,british,01223 323361,6 lensfield road,,bad,airy,short
riverside brasserie,moderate,centre,gastropub,01223 259988,doubletree by hilton cambridge granta place mill lane,,okay,quiet,short
the copper kettle,moderate,east,british,01223 365068,4 kings parade city centre,c.b 2,good,quiet,long
zizzi cambridge,expensive,south,italian,01223 365599,47-53 regent street,,bad,airy,long
saffron brasserie,expensive,centre,saudi,,,,okay,busy,long
india house,expensive,west,indian,01223 461661,31 newnham road newnham,,bad,airy,long
ali baba,moderate,centre,lebanese,01462 432565,59 hills road city centre,c.b 2,terrible,busy,long
rice boat,expensive,north,indian,01223 302800,37 newnham road newnham,,bad,quiet,short
midsummer house restaurant,expensive,centre,moroccan,01223 369299,midsummer common,,bad,airy,average
hotel du vin and bistro,moderate,centre,european,01223 227330,15 - 19 trumpington street,c.b 2,terrible,airy,short
darrys cookhouse and wine shop,expensive,south,modern european,01223 505015,40270 king street city centre,c.b 1,bad,airy,long
pizza express,cheap,centre,spanish,01223 324033,,c.b 2,good,airy,average
jinling noodle bar,moderate,centre,cuban,01223 566188,11 peas hill city centre,c.b 2,bad,busy,long
graffiti,moderate,north,indian,01223 277977,hotel felix whitehouse lane huntingdon road,c.b 3,good,quiet,long
wagamama,expensive,centre,japanese,01223 462354,36 saint andrews street,c.b 2,bad,quiet,average
pizza hut city centre,cheap,centre,italian,01223 323737,regent street city centre,,excellent,quiet,short
curry king,expensive,centre,seafood,01223 324351,5 jordans yard bridge street city centre,,okay,airy,average
panahar,expensive,centre,greek,,,,terrible,airy,average
ugly duckling,expensive,centre,catalan,,12 st. johns street city centre,,excellent,airy,average
pizza express fen ditton,moderate,centre,european,,jesus lane fen ditton,,bad,busy,short
sesame restaurant and bar,moderate,,turkish,,,,excellent,airy,long
hk fusion,expensive,centre,thai,,21 burleigh street city centre,c.b 1,excellent,quiet,average
